datetime,open,high,low,close,volume
2023-11-01 00:00:00,34651.4,34676.5,34650.0,34669.9,376.04
2023-10-31 23:59:00,34671.7,34675.4,34651.3,34651.4,119.791
2023-10-31 23:58:00,34677.0,34677.0,34670.8,34671.7,54.919
2023-10-31 23:57:00,34660.4,34677.0,34660.3,34677.0,69.881
2023-10-31 23:56:00,34667.4,34667.4,34646.4,34660.4,100.116
2023-10-31 23:55:00,34670.5,34671.0,34641.6,34667.4,128.095
2023-10-31 23:54:00,34663.8,34673.1,34660.9,34670.4,120.975
2023-10-31 23:53:00,34653.5,34663.9,34652.2,34663.9,84.433
2023-10-31 23:52:00,34666.7,34669.3,34650.1,34653.5,114.053
2023-10-31 23:51:00,34669.2,34672.0,34645.4,34666.6,242.709
2023-10-31 23:50:00,34648.2,34669.2,34648.2,34669.1,224.822
2023-10-31 23:49:00,34644.9,34650.0,34642.7,34648.2,104.342
2023-10-31 23:48:00,34635.0,34646.6,34633.5,34644.9,131.102
2023-10-31 23:47:00,34613.4,34637.7,34613.4,34635.0,99.489
2023-10-31 23:46:00,34615.8,34617.5,34610.5,34613.5,77.088
2023-10-31 23:45:00,34633.0,34633.0,34615.0,34615.8,226.401
2023-10-31 23:44:00,34638.7,34639.8,34633.0,34633.0,55.766
2023-10-31 23:43:00,34635.5,34638.7,34620.3,34638.6,109.093
2023-10-31 23:42:00,34634.6,34638.5,34632.0,34635.6,36.439
2023-10-31 23:41:00,34630.1,34640.0,34626.0,34634.7,82.77
2023-10-31 23:40:00,34629.9,34638.2,34629.9,34630.0,64.75
2023-10-31 23:39:00,34609.9,34630.0,34609.9,34629.9,136.94
2023-10-31 23:38:00,34615.1,34615.2,34604.9,34609.9,69.03
2023-10-31 23:37:00,34619.9,34622.1,34613.7,34615.2,88.021
2023-10-31 23:36:00,34599.9,34634.8,34599.9,34619.9,92.49
2023-10-31 23:35:00,34620.2,34626.1,34595.9,34599.9,66.837
2023-10-31 23:34:00,34638.9,34638.9,34620.2,34620.2,110.916
2023-10-31 23:33:00,34632.1,34645.4,34632.1,34638.8,127.859
2023-10-31 23:32:00,34638.3,34638.4,34632.1,34632.2,55.354
2023-10-31 23:31:00,34622.9,34644.9,34622.9,34638.4,114.18
2023-10-31 23:30:00,34608.0,34642.1,34607.9,34622.9,245.383
2023-10-31 23:29:00,34604.0,34608.0,34603.9,34608.0,30.119
2023-10-31 23:28:00,34600.2,34604.0,34594.6,34603.9,54.823
2023-10-31 23:27:00,34600.0,34602.7,34599.9,34600.2,70.797
2023-10-31 23:26:00,34599.9,34600.0,34599.9,34600.0,33.498
2023-10-31 23:25:00,34592.0,34600.0,34592.0,34600.0,66.434
2023-10-31 23:24:00,34592.1,34592.1,34592.0,34592.1,16.698
2023-10-31 23:23:00,34589.3,34592.1,34587.6,34592.0,49.686
2023-10-31 23:22:00,34598.5,34598.6,34586.5,34589.3,96.566
2023-10-31 23:21:00,34590.0,34600.0,34589.9,34598.6,57.123
2023-10-31 23:20:00,34597.5,34599.1,34586.5,34590.0,70.111
2023-10-31 23:19:00,34591.8,34597.6,34591.8,34597.6,35.189
2023-10-31 23:18:00,34595.9,34599.0,34589.0,34591.8,88.876
2023-10-31 23:17:00,34588.8,34595.9,34585.0,34595.9,47.679
2023-10-31 23:16:00,34596.8,34596.8,34581.1,34588.9,88.4
2023-10-31 23:15:00,34577.1,34596.8,34577.0,34596.7,65.475
2023-10-31 23:14:00,34580.8,34582.5,34577.0,34577.1,49.466
2023-10-31 23:13:00,34573.9,34580.9,34573.8,34580.9,43.947
2023-10-31 23:12:00,34578.9,34579.0,34573.8,34573.9,53.514
2023-10-31 23:11:00,34591.8,34591.8,34573.7,34579.0,80.988
2023-10-31 23:10:00,34597.6,34598.1,34582.0,34591.7,158.56
2023-10-31 23:09:00,34594.0,34599.4,34594.0,34597.6,94.241
2023-10-31 23:08:00,34585.7,34594.1,34585.7,34594.1,29.784
2023-10-31 23:07:00,34583.3,34590.6,34580.6,34585.8,127.091
2023-10-31 23:06:00,34572.9,34583.4,34568.5,34583.4,57.991
2023-10-31 23:05:00,34549.1,34581.6,34549.0,34572.9,333.166
2023-10-31 23:04:00,34532.0,34549.1,34532.0,34549.1,83.701
2023-10-31 23:03:00,34549.1,34549.2,34528.5,34532.1,126.463
2023-10-31 23:02:00,34544.7,34551.4,34530.0,34549.1,193.171
2023-10-31 23:01:00,34558.2,34558.2,34540.8,34544.6,130.546
2023-10-31 23:00:00,34571.7,34573.3,34550.5,34558.1,199.964
2023-10-31 22:59:00,34581.2,34583.9,34564.1,34571.7,285.892
2023-10-31 22:58:00,34572.0,34581.3,34572.0,34581.2,60.454
2023-10-31 22:57:00,34573.7,34585.5,34572.0,34572.0,94.102
2023-10-31 22:56:00,34591.9,34591.9,34570.1,34573.7,193.926
2023-10-31 22:55:00,34595.9,34595.9,34591.9,34591.9,29.797
2023-10-31 22:54:00,34600.2,34600.2,34595.8,34595.8,37.574
2023-10-31 22:53:00,34603.2,34608.0,34600.1,34600.1,66.806
2023-10-31 22:52:00,34605.5,34608.7,34599.1,34603.2,82.217
2023-10-31 22:51:00,34588.8,34605.6,34587.3,34605.6,69.594
2023-10-31 22:50:00,34596.8,34596.9,34588.8,34588.8,75.157
2023-10-31 22:49:00,34600.8,34600.9,34590.0,34596.8,63.184
2023-10-31 22:48:00,34611.9,34612.0,34592.8,34600.8,125.292
2023-10-31 22:47:00,34627.8,34627.8,34611.9,34612.0,43.539
2023-10-31 22:46:00,34622.3,34628.1,34614.3,34627.7,69.737
2023-10-31 22:45:00,34618.1,34634.3,34611.0,34622.3,146.666
2023-10-31 22:44:00,34623.9,34625.1,34611.8,34618.1,151.28
2023-10-31 22:43:00,34655.5,34657.8,34622.3,34624.0,173.918
2023-10-31 22:42:00,34659.8,34660.0,34636.8,34655.4,215.322
2023-10-31 22:41:00,34632.0,34660.0,34631.9,34659.7,403.933
2023-10-31 22:40:00,34589.2,34632.0,34589.1,34631.9,694.589
2023-10-31 22:39:00,34566.1,34589.2,34566.0,34589.1,178.546
2023-10-31 22:38:00,34552.0,34577.4,34552.0,34566.1,138.165
2023-10-31 22:37:00,34548.0,34562.4,34548.0,34552.0,83.293
2023-10-31 22:36:00,34543.5,34548.0,34543.4,34548.0,14.801
2023-10-31 22:35:00,34545.9,34545.9,34535.5,34543.4,62.336
2023-10-31 22:34:00,34539.0,34551.3,34538.9,34546.0,46.549
2023-10-31 22:33:00,34538.9,34539.0,34538.9,34539.0,18.868
2023-10-31 22:32:00,34530.2,34539.0,34529.7,34539.0,45.96
2023-10-31 22:31:00,34544.5,34549.4,34527.8,34530.2,94.643
2023-10-31 22:30:00,34555.5,34559.9,34534.1,34544.5,84.006
2023-10-31 22:29:00,34545.6,34555.5,34545.5,34555.4,51.826
